-1,7,[ -1 7 ],33554432,1685708716.211891,1685708716.212028,1685708716.217219
-1,7,[ -1 7 ],33554432,1685708716.211930,1685708716.217276,1685708716.222774
-1,7,[ -1 7 ],33554432,1685708716.211961,1685708716.222840,1685708716.225951
-1,1,[ -1 1 ],33554432,1685708716.211976,1685708716.212062,1685708716.216887
-1,1,[ -1 1 ],33554432,1685708716.212025,1685708716.216946,1685708716.220378
-1,1,[ -1 1 ],33554432,1685708716.212050,1685708716.220407,1685708716.223313
7,3,[ 7 3 ],33554432,1685708716.212269,1685708716.225984,1685708716.227486
-1,3,[ -1 3 ],33554432,1685708716.212286,1685708716.212366,1685708716.217680
7,6,[ 7 6 ],33554432,1685708716.212311,1685708716.225985,1685708716.226777
-1,6,[ -1 6 ],33554432,1685708716.212373,1685708716.212490,1685708716.217939
-1,6,[ -1 6 ],33554432,1685708716.212395,1685708716.217998,1685708716.223363
7,4,[ 7 4 ],33554432,1685708716.212412,1685708716.225987,1685708716.226791
-1,4,[ -1 4 ],33554432,1685708716.212449,1685708716.212499,1685708716.217950
-1,4,[ -1 4 ],33554432,1685708716.212470,1685708716.217998,1685708716.220864
6,5,[ 6 5 ],33554432,1685708716.212501,1685708716.226998,1685708716.227782
1,5,[ 1 5 ],33554432,1685708716.212536,1685708716.223353,1685708716.224120
-1,5,[ -1 5 ],33554432,1685708716.212554,1685708716.212674,1685708716.218188
6,2,[ 6 2 ],33554432,1685708716.212579,1685708716.223437,1685708716.225011
-1,2,[ -1 2 ],33554432,1685708716.212614,1685708716.212642,1685708716.217914
3,0,[ 3 0 ],33554432,1685708716.212661,1685708716.224497,1685708716.225245
4,0,[ 4 0 ],33554432,1685708716.212695,1685708716.220908,1685708716.221637
-1,0,[ -1 0 ],33554432,1685708716.212722,1685708716.212797,1685708716.218251
-1,1,[ -1 1 ],33554432,1685708716.223335,1685708716.223354,1685708716.226961
-1,1,[ -1 1 ],33554432,1685708716.223354,1685708716.227017,1685708716.233838
-1,1,[ -1 1 ],33554432,1685708716.223367,1685708716.233867,1685708716.237314
1,2,[ 1 2 ],33554432,1685708716.225039,1685708716.237354,1685708716.238129
-1,2,[ -1 2 ],33554432,1685708716.225062,1685708716.225078,1685708716.228243
-1,2,[ -1 2 ],33554432,1685708716.225077,1685708716.228308,1685708716.233534
-1,0,[ -1 0 ],33554432,1685708716.225417,1685708716.225431,1685708716.231106
-1,0,[ -1 0 ],33554432,1685708716.225431,1685708716.231162,1685708716.235281
-1,7,[ -1 7 ],33554432,1685708716.225965,1685708716.225988,1685708716.230733
-1,7,[ -1 7 ],33554432,1685708716.225984,1685708716.230794,1685708716.234448
-1,7,[ -1 7 ],33554432,1685708716.225999,1685708716.234498,1685708716.237433
7,4,[ 7 4 ],33554432,1685708716.226837,1685708716.237466,1685708716.238284
0,4,[ 0 4 ],33554432,1685708716.226862,1685708716.235326,1685708716.236063
-1,4,[ -1 4 ],33554432,1685708716.226878,1685708716.226900,1685708716.234522
7,6,[ 7 6 ],33554432,1685708716.226903,1685708716.237467,1685708716.238286
2,6,[ 2 6 ],33554432,1685708716.226938,1685708716.233579,1685708716.235123
-1,6,[ -1 6 ],33554432,1685708716.226960,1685708716.227001,1685708716.232458
7,3,[ 7 3 ],33554432,1685708716.227554,1685708716.237468,1685708716.239042
-1,3,[ -1 3 ],33554432,1685708716.227574,1685708716.227667,1685708716.233212
6,5,[ 6 5 ],33554432,1685708716.227830,1685708716.238516,1685708716.239262
1,5,[ 1 5 ],33554432,1685708716.227860,1685708716.237356,1685708716.238131
-1,5,[ -1 5 ],33554432,1685708716.227877,1685708716.228024,1685708716.232727
-1,1,[ -1 1 ],33554432,1685708716.237339,1685708716.237357,1685708716.240131
-1,1,[ -1 1 ],33554432,1685708716.237356,1685708716.240173,1685708716.243658
-1,7,[ -1 7 ],33554432,1685708716.237444,1685708716.237469,1685708716.240252
-1,7,[ -1 7 ],33554432,1685708716.237461,1685708716.240306,1685708716.243221
1,2,[ 1 2 ],33554432,1685708716.238164,1685708716.243696,1685708716.244475
-1,2,[ -1 2 ],33554432,1685708716.238181,1685708716.238329,1685708716.241209
7,4,[ 7 4 ],33554432,1685708716.238324,1685708716.243253,1685708716.244050
-1,4,[ -1 4 ],33554432,1685708716.238346,1685708716.238390,1685708716.241261
7,6,[ 7 6 ],33554432,1685708716.238368,1685708716.243255,1685708716.244052
2,6,[ 2 6 ],33554432,1685708716.238394,1685708716.241263,1685708716.242731
2,3,[ 2 3 ],33554432,1685708716.239253,1685708716.244652,1685708716.245390
7,3,[ 7 3 ],33554432,1685708716.239269,1685708716.243257,1685708716.244761
6,5,[ 6 5 ],33554432,1685708716.239294,1685708716.244241,1685708716.245071
1,5,[ 1 5 ],33554432,1685708716.239326,1685708716.243699,1685708716.244477
3,0,[ 3 0 ],33554432,1685708716.239396,1685708716.245489,1685708716.246228
4,0,[ 4 0 ],33554432,1685708716.239417,1685708716.241303,1685708716.242059
-1,7,[ -1 7 ],33554432,1685708716.243237,1685708716.243260,1685708716.248980
-1,7,[ -1 7 ],33554432,1685708716.243254,1685708716.249038,1685708716.252004
-1,1,[ -1 1 ],33554432,1685708716.243682,1685708716.243702,1685708716.246486
-1,1,[ -1 1 ],33554432,1685708716.243698,1685708716.246524,1685708716.249338
7,4,[ 7 4 ],33554432,1685708716.244090,1685708716.252043,1685708716.252843
-1,4,[ -1 4 ],33554432,1685708716.244110,1685708716.244211,1685708716.247002
7,6,[ 7 6 ],33554432,1685708716.244130,1685708716.252045,1685708716.252844
