256,256, 6.982920e-05,3.490995e-06,6810, 6.664937e-05,3.331935e-06,7022, 1.594787e+00
512,512, 1.680445e-04,8.401625e-06,3798, 2.843282e-04,1.421194e-05,2671, 1.652286e+00
768,768, 3.677976e-04,1.838246e-05,2250, 4.691902e-04,2.345244e-05,1913, 2.417950e+00
1024,1024, 6.550001e-04,3.273318e-05,1532, 8.296120e-04,4.145625e-05,1309, 2.854898e+00
1280,1280, 1.011615e-03,5.055238e-05,1147, 1.367695e-03,6.827988e-05,939, 3.218605e+00
1536,1536, 1.452436e-03,7.252796e-05,902, 1.940513e-03,9.691283e-05,744, 3.652904e+00
1792,1792, 1.966722e-03,9.825450e-05,737, 2.635779e-03,1.315795e-04,607, 4.049030e+00
2048,2048, 2.563109e-03,1.280334e-04,618, 3.506480e-03,1.750410e-04,502, 4.380729e+00
2304,2304, 3.240636e-03,1.617652e-04,529, 4.452160e-03,2.225122e-04,428, 4.737432e+00
2560,2560, 3.995787e-03,1.996206e-04,460, 5.488218e-03,2.737063e-04,373, 5.086915e+00
2816,2816, 4.830005e-03,2.408977e-04,406, 6.645885e-03,3.322040e-04,328, 5.414497e+00
3072,3072, 5.743748e-03,2.863181e-04,362, 8.016815e-03,3.999442e-04,290, 5.706337e+00
3328,3328, 6.745091e-03,3.368148e-04,325, 9.445580e-03,4.715406e-04,260, 6.015448e+00
3584,3584, 7.821381e-03,3.897505e-04,295, 1.099939e-02,5.492561e-04,235, 6.312006e+00
3840,3840, 8.970570e-03,4.479290e-04,269, 1.260295e-02,6.282110e-04,215, 6.615662e+00
4096,4096, 1.020196e-02,5.094645e-04,247, 1.435084e-02,7.169287e-04,197, 6.898199e+00
4608,4608, 1.291725e-02,6.416614e-04,212, 1.810126e-02,9.039920e-04,169, 7.494717e+00
5120,5120, 1.593474e-02,7.948460e-04,184, 2.219645e-02,1.105155e-03,148, 8.072008e+00
5632,5632, 1.928590e-02,9.637396e-04,162, 2.686884e-02,1.329739e-03,131, 8.628230e+00
6144,6144, 2.293783e-02,1.139957e-03,145, 3.192985e-02,1.578680e-03,117, 9.169338e+00
6656,6656, 2.692725e-02,1.345261e-03,130, 3.749224e-02,1.861018e-03,105, 9.652604e+00
7168,7168, 3.121480e-02,1.558364e-03,118, 4.341420e-02,2.167414e-03,95, 1.013669e+01
7680,7680, 3.584366e-02,1.782916e-03,108, 4.978409e-02,2.478622e-03,87, 1.066020e+01
8192,8192, 4.076613e-02,2.035385e-03,99, 5.653151e-02,2.817450e-03,80, 1.113765e+01
9216,9216, 5.159271e-02,2.568172e-03,85, 7.113159e-02,3.533566e-03,69, 1.214129e+01
10240,10240, 6.369189e-02,3.174329e-03,74, 8.754938e-02,4.269801e-03,61, 1.318243e+01
11264,11264, 7.706577e-02,3.782936e-03,66, 1.052115e-01,5.151927e-03,54, 1.416009e+01
12288,12288, 9.171884e-02,4.494515e-03,59, 1.245150e-01,6.181058e-03,48, 1.501201e+01
13312,13312, 1.076405e-01,5.302702e-03,53, 1.460600e-01,7.074511e-03,44, 1.603816e+01
14336,14336, 1.248536e-01,6.181011e-03,48, 1.691630e-01,8.206160e-03,40, 1.689462e+01
15360,15360, 1.433180e-01,7.074441e-03,44, 1.931146e-01,9.269222e-03,37, 1.788586e+01
16384,16384, 1.630602e-01,7.896189e-03,41, 2.187580e-01,1.058370e-02,34, 1.880042e+01
18432,18432, 2.063817e-01,1.011264e-02,35, 2.761286e-01,1.360391e-02,29, 2.031732e+01
20480,20480, 2.547884e-01,1.224145e-02,31, 3.374675e-01,1.618488e-02,26, 2.240912e+01
22528,22528, 3.083011e-01,1.523955e-02,27, 4.055675e-01,1.970146e-02,23, 2.386882e+01
24576,24576, 3.669047e-01,1.723218e-02,25, 4.792579e-01,2.282408e-02,21, 2.607899e+01
26624,26624, 4.306077e-01,2.116686e-02,22, 5.577929e-01,2.687039e-02,19, 2.746527e+01
28672,28672, 4.993978e-01,2.470955e-02,20, 6.384547e-01,2.936724e-02,18, 2.981438e+01
30720,30720, 5.732939e-01,2.687052e-02,19, 7.258043e-01,3.569644e-02,16, 3.115783e+01
32768,32768, 6.522806e-01,3.227348e-02,17, 8.184323e-01,3.976023e-02,15, 3.273442e+01
