256,256, 9.703353e-05,4.850809e-06,5467, 1.096673e-04,5.482246e-06,5040, 1.740395e+00
512,512, 2.688227e-04,1.343404e-05,2773, 3.165621e-04,1.581881e-05,2487, 2.270284e+00
768,768, 4.950515e-04,2.474149e-05,1846, 6.471457e-04,3.232638e-05,1545, 2.702333e+00
1024,1024, 8.142016e-04,4.067094e-05,1326, 1.134705e-03,5.667934e-05,1063, 3.106887e+00
1280,1280, 1.227353e-03,6.128740e-05,1009, 1.689069e-03,8.433410e-05,816, 3.584096e+00
1536,1536, 1.732618e-03,8.660129e-05,803, 2.434764e-03,1.215111e-04,640, 4.001386e+00
1792,1792, 2.306973e-03,1.151995e-04,663, 3.270430e-03,1.631960e-04,526, 4.416847e+00
2048,2048, 2.953114e-03,1.472996e-04,563, 4.281333e-03,2.134804e-04,440, 4.790716e+00
2304,2304, 3.784681e-03,1.890408e-04,477, 5.425080e-03,2.704655e-04,376, 5.174446e+00
2560,2560, 4.629010e-03,2.314145e-04,417, 6.656368e-03,3.326807e-04,328, 5.654880e+00
2816,2816, 5.555033e-03,2.770516e-04,370, 8.028949e-03,4.000118e-04,290, 5.921125e+00
3072,3072, 6.544532e-03,3.261760e-04,332, 9.547709e-03,4.771172e-04,258, 6.253454e+00
3328,3328, 7.759855e-03,3.877700e-04,296, 1.120231e-02,5.600854e-04,232, 6.597264e+00
3584,3584, 8.974605e-03,4.479493e-04,269, 1.299352e-02,6.463578e-04,211, 6.948228e+00
3840,3840, 1.022479e-02,5.094700e-04,247, 1.490460e-02,7.395876e-04,193, 7.277969e+00
4096,4096, 1.154788e-02,5.748994e-04,228, 1.695203e-02,8.430107e-04,177, 7.583293e+00
4608,4608, 1.478336e-02,7.337668e-04,194, 2.138824e-02,1.061521e-03,152, 8.251970e+00
5120,5120, 1.802081e-02,8.959392e-04,170, 2.637473e-02,1.314624e-03,132, 8.828465e+00
5632,5632, 2.194215e-02,1.093921e-03,149, 3.195808e-02,1.578852e-03,117, 9.450849e+00
6144,6144, 2.589195e-02,1.284818e-03,134, 3.798171e-02,1.888577e-03,104, 9.999001e+00
6656,6656, 3.065334e-02,1.519101e-03,120, 4.460816e-02,2.202898e-03,94, 1.061480e+01
7168,7168, 3.520374e-02,1.758106e-03,109, 5.166070e-02,2.568475e-03,85, 1.109231e+01
7680,7680, 4.068806e-02,2.004476e-03,100, 5.937177e-02,2.928924e-03,78, 1.170351e+01
8192,8192, 4.589851e-02,2.276054e-03,92, 6.640292e-02,3.310518e-03,72, 1.234398e+01
9216,9216, 5.822688e-02,2.872140e-03,79, 7.821874e-02,3.872779e-03,65, 1.433237e+01
10240,10240, 7.220007e-02,3.533550e-03,69, 9.100212e-02,4.494683e-03,59, 1.630752e+01
11264,11264, 8.741951e-02,4.269772e-03,61, 1.062575e-01,5.302833e-03,53, 1.789725e+01
12288,12288, 1.041079e-01,5.151881e-03,54, 1.227136e-01,5.986868e-03,49, 1.967112e+01
13312,13312, 1.224688e-01,5.986774e-03,49, 1.404994e-01,6.831918e-03,45, 2.138591e+01
14336,14336, 1.413802e-01,6.831759e-03,45, 1.608547e-01,7.896403e-03,41, 2.263171e+01
