256,256, 5.047883e-05,2.523925e-06,8758, 5.741528e-05,2.870317e-06,7756, 1.412103e+00
512,512, 1.795260e-04,8.974577e-06,3628, 1.924352e-04,9.619655e-06,3464, 1.981536e+00
768,768, 3.926953e-04,1.962575e-05,2154, 4.240768e-04,2.120118e-05,2046, 2.502985e+00
1024,1024, 6.904044e-04,3.451016e-05,1479, 7.477238e-04,3.735484e-05,1403, 3.005327e+00
1280,1280, 1.077181e-03,5.383591e-05,1100, 1.162270e-03,5.805973e-05,1046, 3.482110e+00
1536,1536, 1.547764e-03,7.727551e-05,865, 1.668855e-03,8.338979e-05,822, 3.926936e+00
1792,1792, 2.102579e-03,1.050341e-04,705, 2.266670e-03,1.131369e-04,671, 4.341101e+00
2048,2048, 2.738462e-03,1.365818e-04,592, 2.960421e-03,1.476931e-04,562, 4.748112e+00
2304,2304, 3.464819e-03,1.729521e-04,506, 3.747673e-03,1.872407e-04,480, 5.131302e+00
2560,2560, 4.279192e-03,2.134318e-04,440, 4.626594e-03,2.305675e-04,418, 5.505057e+00
2816,2816, 5.177559e-03,2.579203e-04,388, 5.605236e-03,2.793180e-04,368, 5.863245e+00
3072,3072, 6.151403e-03,3.064935e-04,346, 6.662822e-03,3.321876e-04,328, 6.228410e+00
3328,3328, 7.220679e-03,3.599237e-04,311, 7.824340e-03,3.897559e-04,295, 6.560105e+00
3584,3584, 8.376913e-03,4.171553e-04,282, 9.054508e-03,4.504563e-04,268, 6.906061e+00
3840,3840, 9.617089e-03,4.798513e-04,257, 1.038879e-02,5.189522e-04,244, 7.218836e+00
4096,4096, 1.093098e-02,5.457268e-04,236, 1.180734e-02,5.865148e-04,225, 7.557927e+00
4608,4608, 1.383895e-02,6.902566e-04,202, 1.495048e-02,7.453186e-04,192, 8.175793e+00
5120,5120, 1.707420e-02,8.501243e-04,176, 1.846485e-02,9.204067e-04,167, 8.774606e+00
5632,5632, 2.066675e-02,1.030402e-03,155, 2.240372e-02,1.116543e-03,147, 9.349646e+00
6144,6144, 2.458345e-02,1.228755e-03,138, 2.666390e-02,1.329719e-03,131, 9.913427e+00
6656,6656, 2.886217e-02,1.427775e-03,125, 3.141651e-02,1.558370e-03,118, 1.049640e+01
7168,7168, 3.345829e-02,1.664350e-03,113, 3.654286e-02,1.808332e-03,107, 1.102232e+01
7680,7680, 3.841951e-02,1.916264e-03,103, 4.211008e-02,2.099662e-03,97, 1.149404e+01
8192,8192, 4.369765e-02,2.167385e-03,95, 4.797348e-02,2.394098e-03,89, 1.201504e+01
9216,9216, 5.530427e-02,2.764425e-03,81, 6.101005e-02,3.047358e-03,76, 1.297674e+01
10240,10240, 6.827513e-02,3.382088e-03,71, 7.564889e-02,3.696624e-03,67, 1.409421e+01
11264,11264, 8.260952e-02,4.063141e-03,63, 9.158417e-02,4.494518e-03,59, 1.505675e+01
12288,12288, 9.831248e-02,4.870802e-03,56, 1.092249e-01,5.461052e-03,52, 1.583772e+01
13312,13312, 1.153802e-01,5.627447e-03,51, 1.283250e-01,6.386016e-03,47, 1.684470e+01
14336,14336, 1.338126e-01,6.602614e-03,46, 1.491539e-01,7.331872e-03,43, 1.778413e+01
